subject,run,n_tr,fsnr_PDA_db,signal_PDA,noise_PDA,delta_PDA,meanfb_PDA,fsnr_CEN_db,signal_CEN,noise_CEN,delta_CEN,meanfb_CEN,fsnr_DMN_db,signal_DMN,noise_DMN,delta_DMN,meanfb_DMN,fsnr_CENDMN_db,glm_PDA_db,beta_PDA,r2_PDA,glm_CEN_db,beta_CEN,r2_CEN,glm_DMN_db,beta_DMN,r2_DMN,glm_CENDMN_db
dmnelf007,1,125,-15.774594193375442,0.0015848519962520784,0.059902938997228664,-0.09802656728186106,-0.022872016461271988,-14.05653858703088,0.012964922165936206,0.3299314931958566,0.28037184271079146,0.06052322593566618,-11.366116657724898,0.023615640426328632,0.32345315627061705,0.37839840999951485,0.08339524216165668,-13.970414795078723,-15.051985348360349,-0.10058745987647201,0.03029974509784495,-13.62398297135881,0.2804302497192504,0.041605065722858256,-10.832488117492307,0.38101770963713316,0.07626067108417069,-13.494894184725997
dmnelf007,2,125,-21.829756982337152,0.0006846421384350889,0.10433723509477183,0.0644289794015257,0.01905064696544095,-13.596679387313413,0.010681819333488655,0.2445193130430536,-0.2544907802298432,-0.059608898924565626,-10.823268243528121,0.016775055821617802,0.20276397584174488,-0.3189197581516285,-0.07865954446361254,-12.783455701055498,-18.85394277157913,0.08583081141416311,0.01285250468258663,-13.273221012419326,-0.2511365685480541,0.0449474608011175,-9.95439216686275,-0.33696737860493786,0.091780727680264,-12.507950236915146
dmnelf007,3,125,-16.55934637872622,0.003883567761439252,0.17585937489993075,0.15344928977520841,0.03714883652956862,-20.763830741727197,0.002194494247413035,0.26164806115297023,-0.11534975128346367,0.012747997957232752,-11.65874853386236,0.011916714798435868,0.17459483781632631,-0.2687990390783862,-0.02440083826843061,-19.006969521935368,-15.334767124250341,0.1667206687262286,0.028444029002106706,-30.002544094386433,0.04007679276111314,0.0009984165403262109,-18.463548163035842,-0.1266438743324353,0.014044379325517869,-28.45737274947009
dmnelf007,4,125,-10.516452922784548,0.012477562297053116,0.14053193920166818,0.27505168668533625,0.016720831315768393,-20.55535817135956,0.002917731696117672,0.3315745358868726,0.1330062704087284,0.002985857606032177,-18.06195768698762,0.003327787444893889,0.2129861423561492,-0.14204541780189367,-0.013734975682056852,-18.633059943289304,-18.403534138587375,0.12237644242512397,0.014237019849792138,-31.115072417601702,0.03822862650830198,0.0007729598506641665,-22.31684441087865,-0.08414781521810363,0.005831436957976749,-29.16992740665289
dmnelf008,1,125,-9.118752764300634,0.02735177027447995,0.22328560046738274,0.4072322456224968,0.08651412588201071,-6.415950685530193,0.024246777507371732,0.10623046826883478,0.3834214919194653,0.10289497309774896,-32.282874194274356,9.350767536788421e-05,0.1581738479018347,-0.02381074967583501,0.016380848411714204,-8.144806525327123,-8.583920866920518,0.4066224907329137,0.12169020910103853,-4.713522272981699,0.4437766698777325,0.2524989514210281,-28.219474164298575,0.03715418266028166,0.0015045224957283105,-6.676339064501363
dmnelf008,2,125,-6.736566943909827,0.033166097605055816,0.1564411748884832,0.4484320311169875,0.08829384728481895,-4.405230985644314,0.045047668732275496,0.12422111388660922,0.5226194871161868,0.10790371180659061,-22.81147067471273,0.000907741217508943,0.17342396976660526,0.07418745398864542,0.019609865847680912,-5.854368025652929,-7.136547364950454,0.40906531938739316,0.1620232166294779,-4.523873352843286,0.48929422578847065,0.26082975832650324,-21.652097051092497,0.08022890471922267,0.006789403800101082,-5.947312503918627
dmnelf008,3,125,-11.035379008752265,0.01937199234409381,0.24587376392461546,0.3427177385515288,0.06513635645571508,-14.888172585069857,0.0046118387466452275,0.14213183800976295,0.16721933651936094,0.04613268479925433,-15.472089656229533,0.005079810020151804,0.1790838556160966,-0.1754984051991548,-0.0190036700597327,-15.891823222857353,-11.696631555694903,0.30180580517668704,0.06337289760603665,-12.327936063649824,0.2117687639264693,0.055272962024437745,-21.041159995123135,-0.09003704400656153,0.007806928297205869,-13.612346527393482
dmnelf008,4,125,-10.034475324042036,0.014885988564919194,0.15004627334292234,0.3004265286028385,0.0641256831586361,-11.001636069382958,0.004907984899961475,0.06181115015547894,0.1725047460026843,0.037712535244951904,-17.739571178644134,0.0026989206128894606,0.16037889913978048,-0.12792178008966545,-0.026413147843260574,-15.142440102054806,-9.939455983110756,0.28708165438871946,0.09206781054421487,-10.324892294788997,0.1760270770460401,0.08491281594817063,-18.544260655502253,-0.11105457517644204,0.013789344602122836,-14.543400207655214
dmnelf009,1,125,-12.130827019724943,0.005803057609690046,0.0947849933618938,0.18757626331656388,0.033311327968380954,-10.949019874184332,0.0094613985986608,0.11772191728596365,0.2395119070291127,0.08915754534598244,-25.391016409086134,0.00044486902663582145,0.15393373623846676,0.05193564432035936,0.05584621826480878,-12.113784713492832,-12.820224593107865,0.16595393805309977,0.04964368438350955,-7.406035656998407,0.37340322771231677,0.15377396631601586,-13.936583873469788,0.2074492905435559,0.0388278025720143,-8.831261598160305
dmnelf009,2,125,-34.0641983616048,4.836357931934526e-05,0.12329295769046393,-0.01712413553344576,-0.01839839372979967,-31.023090221693572,8.464027974849184e-05,0.10712383509368778,0.022653639450865355,0.021458642356293765,-28.221210634156904,0.0002609648765850787,0.17326192000820123,0.039777773337830835,0.03985703663753443,-33.11126032639378,-21.010618541215422,-0.07413373317596277,0.007861590334949382,-21.288154937123696,0.06812710617593738,0.007378501726475779,-17.25323823520852,0.14226083802781692,0.018474711697616296,-23.64854665179713
dmnelf009,3,125,-5.048976114174023,0.05287173655420811,0.1690912701132095,0.5661887378755369,0.08842227709920783,-6.7887265956663345,0.02957398367014286,0.1411830267585289,0.42345216089712556,0.07607129031645232,-15.962434895270734,0.0033602504285536114,0.1326218661540356,-0.1427365717473195,-0.01235098721410491,-6.517053059464461,-7.786988168473298,0.4333975470108113,0.14270282644139728,-8.10848291657079,0.3554127329829683,0.1338837572207776,-21.04296871597871,-0.07798481095682581,0.00780370296394992,-7.868509535481895
